업종명,업소명,소재지(도로명),소재지(지번)
휴게음식점,더벤티구미들성점,"경상북도 구미시 고아읍 들성로 171, 301동 1층 108호 (구미고아세영리첼레이크뷰)",경상북도 구미시 고아읍 원호리 533 구미고아세영리첼레이크뷰 1층 301동 108호
휴게음식점,하삼동커피옥계점,"경상북도 구미시 옥계북로 40, 1층 103호 (옥계동)",경상북도 구미시 옥계동 834-2 1층 103호
휴게음식점,유정다방,"경상북도 구미시 선산읍 남문로 58, 2층",경상북도 구미시 선산읍 동부리 411-7 2층 
휴게음식점,카페더홈,"경상북도 구미시 봉곡서로 3, 1층 (봉곡동)",경상북도 구미시 봉곡동 308-5 1층 
휴게음식점,라비다,"경상북도 구미시 형곡로 234, 1층 101호 (형곡동)",경상북도 구미시 형곡동 196-1 1층 101호
휴게음식점,벌크커피구미원호점,"경상북도 구미시 고아읍 문장로 201, 1층 104호",경상북도 구미시 고아읍 원호리 439-5 1층 104호
휴게음식점,너랑케키,"경상북도 구미시 구미대로32길 5-1, 1층 (신평동)",경상북도 구미시 신평동 168-14 1층 
휴게음식점,더벤티형곡중앙점,"경상북도 구미시 형곡로 150, 1층 102호 (형곡동, 두산빌라)",경상북도 구미시 형곡동 287-9 두산빌라 1층 102호
휴게음식점,하삼동커피황상점,"경상북도 구미시 인동중앙로 19, 1층 (황상동)",경상북도 구미시 황상동 633-32 1층 
휴게음식점,시리베이커리금오산점,"경상북도 구미시 금오산로18길 11-1, 1층 (원평동)",경상북도 구미시 원평동 415-27 1층 
휴게음식점,달다방커피,"경상북도 구미시 고아읍 가들로 25, B동 지하2층 101,102,103호","경상북도 구미시 고아읍 문성리 1845 지하2층, 101,102,103호 B동 "
휴게음식점,카페인중독구미상모점,"경상북도 구미시 상모로10길 21-63, 1층 (상모동)",경상북도 구미시 상모동 64-1 1층 
휴게음식점,하삼동커피신평점,"경상북도 구미시 구미대로 399, 신평상가 1층 105호 (신평동)",경상북도 구미시 신평동 150-17 신평상가 1층 105호
휴게음식점,카페꾸다,"경상북도 구미시 구미중앙로13길 19-1, 1층 (원평동)",경상북도 구미시 원평동 156-22 1층 
휴게음식점,메가엠지씨커피구미구평점,"경상북도 구미시 인동36길 9, 금강빌딩 1층 (구평동)",경상북도 구미시 구평동 446-3 금강빌딩 1층 
휴게음식점,라셈블리,"경상북도 구미시 원남로8길 26-1, 1층 (원평동)",경상북도 구미시 원평동 415-24 1층 
휴게음식점,코드지,"경상북도 구미시 여헌로 36, 1층 (인의동)",경상북도 구미시 인의동 597-6 1층 
휴게음식점,카페에이치,"경상북도 구미시 구미대로30길 14, 2층 (신평동)",경상북도 구미시 신평동 339-1 2층 
휴게음식점,더리터구미인동점,"경상북도 구미시 인동중앙로 50, 1층 106호 (인의동)",경상북도 구미시 인의동 364-4 1층 106호
휴게음식점,컴포즈커피산동점,"경상북도 구미시 산동읍 신당2로1길 12, 1동 1층 106호",경상북도 구미시 산동읍 신당리 1391 1동 1동 106호
휴게음식점,천씨씨커피공단점,"경상북도 구미시 1공단로 196, 1층 (공단동)",경상북도 구미시 공단동 264-19 1층 
휴게음식점,달리는커피구미문성점,"경상북도 구미시 고아읍 동평로 72, 1동 1층",경상북도 구미시 고아읍 문성리 1782 1층 1동 
휴게음식점,카페둑,"경상북도 구미시 지산양호12길 19-18, 3층 (양호동)",경상북도 구미시 양호동 614-8 3층 
휴게음식점,더리터구미구평점,"경상북도 구미시 인동46길 5-2, 1층 (구평동)",경상북도 구미시 구평동 463-1 1층 
휴게음식점,컴포즈커피인의점,"경상북도 구미시 인동중앙로 23-2, 1층 (황상동)",경상북도 구미시 황상동 285-4 1층 
휴게음식점,매일그대와,"경상북도 구미시 금오산로22안길 15-4, 1층 (원평동)",경상북도 구미시 원평동 434-8 1층 
휴게음식점,커피깊,"경상북도 구미시 원남로1길 62, 1층 (원평동)",경상북도 구미시 원평동 77-10 1층 
휴게음식점,북카페위누리,"경상북도 구미시 박정희로 375-7, 구미복합스포츠센터 1층 (광평동)",경상북도 구미시 광평동 293-2 구미복합스포츠센터 1층 
휴게음식점,봄봄금오파크점,"경상북도 구미시 새마을로3길 7-3, 1층 (사곡동)",경상북도 구미시 사곡동 801 1층 
휴게음식점,달빛카페,"경상북도 구미시 고아읍 선산대로 1202-4, 1동 1층",경상북도 구미시 고아읍 오로리 459-15 1층 1동 
휴게음식점,에이프릴17,"경상북도 구미시 봉곡로 155-15, 1층 (봉곡동)",경상북도 구미시 봉곡동 238-15 1층 
휴게음식점,동네커피문성점,"경상북도 구미시 고아읍 가들로 14, 1동 1층",경상북도 구미시 고아읍 문성리 1898 1층 1동 
휴게음식점,니쥬,"경상북도 구미시 박정희로2길 10, 가동 1층 (상모동)",경상북도 구미시 상모동 459-3 1층 가동 
휴게음식점,스타벅스구미문성디티점,"경상북도 구미시 고아읍 들성로 207, 1동 1,2층","경상북도 구미시 고아읍 문성리 1121 1,2층 1동 "
휴게음식점,커피마루베이커리,"경상북도 구미시 인동남길 72, 1층 (진평동)",경상북도 구미시 진평동 5-6 1층 
휴게음식점,청솔로9인동점,"경상북도 구미시 인동38길 15-16, 1층 (구평동)",경상북도 구미시 구평동 451-8 1층 
휴게음식점,딤플,"경상북도 구미시 산호대로 191-4, 제일상가 1층 (공단동)",경상북도 구미시 공단동 263-1 제일상가 1층 
휴게음식점,디저트39구미인동점,"경상북도 구미시 인동35길 32, 1층 (구평동)",경상북도 구미시 구평동 551-13 1층 
휴게음식점,크로플팜,"경상북도 구미시 봉곡로18길 33-8, 1층 (봉곡동)",경상북도 구미시 봉곡동 225-8 1층 
휴게음식점,글린트,"경상북도 구미시 형곡로31길 8, 1층 (형곡동)",경상북도 구미시 형곡동 262-8 1층 
휴게음식점,감성커피구미구평점,"경상북도 구미시 인동36길 34, 1층 (진평동)",경상북도 구미시 진평동 98-6 1층 
휴게음식점,초이스,"경상북도 구미시 금오대로14길 13, 1층 (오태동)",경상북도 구미시 오태동 745-8 1층 
휴게음식점,이지한커피,"경상북도 구미시 상모로12길 19, 1층 (상모동)",경상북도 구미시 상모동 67-2 1층 
휴게음식점,스타벅스구미광평디티점,"경상북도 구미시 구미대로 188, 1동 1,2층 (광평동)","경상북도 구미시 광평동 792-137 1동 1,2층 "
휴게음식점,커피왕사곡점,"경상북도 구미시 사곡로5길 2, 1층 (사곡동)",경상북도 구미시 사곡동 687-31 1층 
휴게음식점,텐퍼센트커피구미확장단지점,"경상북도 구미시 산동읍 신당2로 29, 1동 1층 110호",경상북도 구미시 산동읍 신당리 1431 1층 1동 110호
휴게음식점,꽃마실카페,"경상북도 구미시 인동남길 6, 1층 (진평동)",경상북도 구미시 진평동 618 1층 
휴게음식점,피크닉브릭하우스,"경상북도 구미시 산동읍 인덕1길 150, 1동 1층",경상북도 구미시 산동읍 인덕리 241-1 1층 1동 
휴게음식점,카페앤플라워이랑,"경상북도 구미시 산동읍 첨단기업1로 50, 1동 1층",경상북도 구미시 산동읍 봉산리 385-9 1층 1동 
휴게음식점,투썸플레이스구미역점,"경상북도 구미시 구미중앙로11길 6, 1층 (원평동)",경상북도 구미시 원평동 122-6 1층 
휴게음식점,더벤티임은점,"경상북도 구미시 왕산로 28-10, 구미 임은 삼도뷰엔빌W 301동 1층 111호 (임은동)",경상북도 구미시 임은동 822 구미 임은 삼도뷰엔빌W 1층 301동 111호
휴게음식점,카페솔목,"경상북도 구미시 봉곡로18길 11, 1층 (봉곡동)",경상북도 구미시 봉곡동 232-8 1층 
휴게음식점,디디디,"경상북도 구미시 산호대로 419, 강변보성타운 401동 지1층 B03호 (비산동)",경상북도 구미시 비산동 28 강변보성타운 지1층 401동 B03호
휴게음식점,컴포즈커피구미옥계신나리점,"경상북도 구미시 산호대로23길 36, 1층 (옥계동)",경상북도 구미시 옥계동 632-1 1층 
휴게음식점,셔터룸,"경상북도 구미시 봉곡로22길 19, 1층 (봉곡동)",경상북도 구미시 봉곡동 182-9 1층 
휴게음식점,컴포즈커피비산점,"경상북도 구미시 신비로 112, 1층 (비산동)",경상북도 구미시 비산동 504-32 1층 
휴게음식점,더리터구미차병원점,"경상북도 구미시 신시로10길 9, 1층 (송정동)",경상북도 구미시 송정동 466-1 1층 
휴게음식점,퀼트카페은성,"경상북도 구미시 인동31길 9-2, 1층 (인의동)",경상북도 구미시 인의동 1001-5 1층 
휴게음식점,텐퍼센트구미봉곡점,"경상북도 구미시 봉곡북로 67-1, 1층 (봉곡동)",경상북도 구미시 봉곡동 167-4 1층 
휴게음식점,카페멜랑그랑,"경상북도 구미시 인동20길 43-4, 1층 101호 (진평동)",경상북도 구미시 진평동 120-2 1층 101호
휴게음식점,아이엠도넛구미문성점,"경상북도 구미시 고아읍 들성로 255, 1동 1층",경상북도 구미시 고아읍 문성리 1284 1층 1동 
휴게음식점,베리앤라떼카페,"경상북도 구미시 왕산로3길 5, 1층 (임은동)",경상북도 구미시 임은동 222-1 1층 
휴게음식점,마마포레,"경상북도 구미시 고아읍 들성로 201-14, 2동 1층",경상북도 구미시 고아읍 문성리 618-1 1층 2동 
휴게음식점,홍차가게율리,"경상북도 구미시 금오산로 190-6, 1층 (남통동)",경상북도 구미시 남통동 104-12 1층 
휴게음식점,와이블랙구미봉곡점,"경상북도 구미시 봉곡로23길 10, 1층 (봉곡동)",경상북도 구미시 봉곡동 157-4 1층 
