addr,lon,lat
경상북도 구미시 산동읍 봉산리 385-4 1층 1동 ,128.443443005381,36.1405733884362
경상북도 구미시 상모동 73-4 1층 1동 ,128.355799053344,36.0859682237427
경상북도 구미시 송정동 34-1 1층 ,128.342471482008,36.1191655970878
경상북도 구미시 진평동 8-2 1층 ,128.425030535825,36.0992511098154
"경상북도 구미시 옥계동 1277 1, 2, 3층 주1동 ",,
경상북도 구미시 선산읍 완전리 76-3 1층 ,128.299343876352,36.2419664976893
경상북도 구미시 원평동 518-1 1층 ,128.338501848918,36.126147626549
경상북도 구미시 황상동 200-9 1층 102호,128.426574600148,36.1174855999159
경상북도 구미시 산동읍 신당리 1439 1층 1동 101호,128.432341324928,36.1559110174272
경상북도 구미시 산동읍 동곡리 546-5 1층 가동 ,128.441122978132,36.1677062149324
경상북도 구미시 상모동 35-2 1층 주1동 ,128.354715567714,36.0868329598497
경상북도 구미시 진평동 24-11 1층 ,128.426069864358,36.0970031220256
경상북도 구미시 형곡동 197-10 상록뉴타운 1층 102호,128.343900698306,36.1097288701218
경상북도 구미시 봉곡동 166-8 다복빌딩 1층 ,128.310626569332,36.1543407904474
경상북도 구미시 형곡동 287-1 1층 ,128.332155488979,36.1082485479897
경상북도 구미시 금전동 701-5 1층 1동 ,128.457417347088,36.1327908005168
경상북도 구미시 옥계동 907 삼구트리니엔 1층 108동 103호,128.42130256421,36.1389129667966
경상북도 구미시 상모동 36-3 1층 가동 ,128.355233767154,36.0865002553552
경상북도 구미시 선산읍 완전리 6-1 ,128.301115052627,36.2423349099842
경상북도 구미시 도량동 240 미도프라자 1층 1호,128.323545947852,36.1406000545183
경상북도 구미시 사곡동 686-1 1층 ,128.359125193484,36.0983586366011
경상북도 구미시 황상동 280-9 1층 ,128.422385498323,36.1083479362392
경상북도 구미시 송정동 459-2 1층 ,128.344977381052,36.1174529846873
경상북도 구미시 고아읍 원호리 448-7 낙원프라자 1층 111호,128.329940826166,36.1521607228471
경상북도 구미시 선산읍 화조리 264-3 Lucete nami 1층 A동 ,,
경상북도 구미시 옥계동 842-3 1층 ,128.421885069506,36.1367297379557
경상북도 구미시 구평동 439-13 1층 ,128.433545030991,36.0947030717351
경상북도 구미시 산동읍 신당리 1432 2층 1동 205호,128.431722752542,36.155569951415
경상북도 구미시 고아읍 원호리 444 1층 101호,128.330565141742,36.1508762456206
경상북도 구미시 선산읍 완전리 222 1층 ,128.301454549533,36.241126410263
경상북도 구미시 공단동 260-10 1층 108호,128.38595286169,36.101404419288
경상북도 구미시 진평동 93-8 1층 ,128.431218297791,36.0926178229195
경상북도 구미시 구평동 447-7 1층 ,128.434140868936,36.0936300813345
경상북도 구미시 인의동 700-7 1층 ,128.427849009946,36.0981401570555
경상북도 구미시 옥계동 936 세영리첼 더프라임 지하1층 301동 102호,128.435454030853,36.1391011029244
경상북도 구미시 신평동 313-18 1층 ,128.365788213982,36.1155976132702
경상북도 구미시 인의동 698-10 1층 ,128.428843300368,36.0978558001975
경상북도 구미시 고아읍 문성리 1613 1층 ,128.344435826204,36.1547227033648
경상북도 구미시 산동읍 신당리 1513 1층 주1동 ,128.436933869377,36.1576608464865
경상북도 구미시 형곡동 292 1층 ,128.333008485289,36.1076114135732
경상북도 구미시 옥계동 457-6 인동농협하나로마트(양포점) 1층 ,128.419340943523,36.1468164116984
경상북도 구미시 송정동 13-10 1층 ,128.339083279501,36.1202915604888
경상북도 구미시 광평동 298-1 동우광평2차전원타운 1층 4호,128.355644769218,36.1094641631555
경상북도 구미시 인의동 641-46 1층 ,128.425398074855,36.1027853948385
경상북도 구미시 송정동 11-7 1층 ,128.34007972689,36.1214248636702
경상북도 구미시 임수동 92-11 1층 107호,128.402546442794,36.1077922883929
경상북도 구미시 송정동 27-10 금산.금오상가 1층 ,128.339695747491,36.1168747074621
경상북도 구미시 상모동 32-6 상모프라자 1층 118호,128.355036136974,36.0874179614877
경상북도 구미시 진평동 108-3 1층 ,128.427019043328,36.0948324347168
경상북도 구미시 산동읍 신당리 1416 1층 104호,128.429954562238,36.1543718615081
경상북도 구미시 송정동 11-1 LOUVER111 2층 ,128.339085781809,36.1219168282365
경상북도 구미시 형곡동 167-1 학원 1층 ,128.334476643972,36.1098140398521
경상북도 구미시 구평동 449-8 종합프라자 1층 105호,128.433786578458,36.0927442730361
