dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190565,선주원남동,양식,15967067000,665294458.3333334,577848,485796,0.5216256086296183,34924.23959971904,2189.070727388618,26.859018508625724,12231.54156545425,0.6856720000706802,202301,47190565,28,음식점,28,570252392.8571428,436.84077019479463,0.07569514487201699,0.8507733037180572,0.4025110350109378,0.30098043162131766,0.08543213508410112,0.3425,낮음,수요인구 높음
47190565,선주원남동,일식,5236904000,218204333.33333334,128720,112815,1.0734682115866652,34924.23959971904,2189.070727388618,26.859018508625724,12231.54156545425,0.6626117601640916,202301,47190565,8,음식점,8,654613000.0,1528.9426956817813,0.02481644900225074,0.8507733037180572,0.5484882951330355,0.24969782571335825,0.09810603482713307,0.3433,낮음,수요인구 높음
47190565,선주원남동,중식,6834276000,284761500.0,292330,256453,0.1404275483260146,34924.23959971904,2189.070727388618,26.859018508625724,12231.54156545425,0.6856867518085322,202301,47190565,9,음식점,9,759364000.0,1359.0601739393612,0.03239063069724272,0.8507733037180572,0.30167386131539864,0.3010132373320036,0.1138432813565963,0.3165,낮음,수요인구 높음
47190565,선주원남동,패스트푸드,1684298000,70179083.33333333,136306,119024,-0.07843700978294972,34924.23959971904,2189.070727388618,26.859018508625724,12231.54156545425,0.6310147322423169,202301,47190565,4,음식점,4,421074500.0,3057.8853913635626,0.007971228643612497,0.8507733037180572,0.24377827956911752,0.17943064994506946,0.063020422769768,0.2794,낮음,수요인구 높음
47190565,선주원남동,한식,210900164000,8787506833.333334,5830030,5145020,0.1975141476715647,34924.23959971904,2189.070727388618,26.859018508625724,12231.54156545425,0.6701810023055911,202301,47190565,38,음식점,38,5550004315.789474,321.88267277511187,1.0,0.8507733037180572,0.31677480734148855,0.2665307148479388,0.8335642165606946,0.7619,매우 추천,소비 규모 높음 + 수요인구 높음 + 공급 대비 소비 부족
47190582,형곡1동,양식,1560705000,65029375.0,119014,103264,-0.022469048515050955,11821.535480124256,979.2764833887671,20.33581359845482,4143.638162123025,0.65074880929682,202301,47190582,8,음식점,8,195088125.0,517.9547702653781,0.007385193682295318,0.27011743719780457,0.258583315636881,0.2233163554122639,0.02906940277306416,0.1356,낮음,특징 약함
47190582,형곡1동,일식,2901260000,120885833.33333333,64291,59537,-0.1696502080330077,11821.535480124256,979.2764833887671,20.33581359845482,4143.638162123025,0.6090181873462499,202301,47190582,3,음식점,3,967086666.6666666,1381.2127207076749,0.013741638606915242,0.27011743719780457,0.2196499272161667,0.1305135464018646,0.1450504566111604,0.1401,낮음,특징 약함
47190582,형곡1동,중식,572477000,23853208.333333332,29970,24381,0.12236825031975829,11821.535480124256,979.2764833887671,20.33581359845482,4143.638162123025,0.6054532741522083,202301,47190582,2,음식점,2,286238500.0,2071.8190810615124,0.0026993606840466093,0.27011743719780457,0.2968966896571116,0.12258570006693173,0.04276336199663264,0.1317,낮음,특징 약함
47190582,형곡1동,패스트푸드,3159864000,131661000.0,341155,296591,-0.10453575323352525,11821.535480124256,979.2764833887671,20.33581359845482,4143.638162123025,0.6227146569875017,202301,47190582,4,음식점,4,789966000.0,1035.9095405307562,0.014967848708915094,0.27011743719780457,0.23687445764393517,0.16097249469502467,0.11844076699677761,0.1422,낮음,특징 약함
47190582,형곡1동,한식,26440910000,1101704583.3333333,944046,863843,0.0064976718522424684,11821.535480124256,979.2764833887671,20.33581359845482,4143.638162123025,0.6246703848466909,202301,47190582,12,음식점,12,2203409166.6666665,345.3031801769187,0.12535846057231717,0.27011743719780457,0.26624579484976185,0.16532174784556805,0.33078913187366193,0.2175,낮음,특징 약함
47190583,형곡2동,양식,1413345000,58889375.0,72662,63113,1.4105157236346788,12458.68742171004,788.2809051721521,17.18509709814436,4365.696126727957,0.641413949604298,202301,47190583,8,음식점,8,176668125.0,545.7120158409946,0.006686463884493668,0.28605967258631,0.63764645739904,0.20255699068939617,0.02630207758215703,0.1937,낮음,소비 성장률 높음
47190583,형곡2동,일식,2036118000,84838250.0,27809,26120,0.048307477800390124,12458.68742171004,788.2809051721521,17.18509709814436,4365.696126727957,0.6375595513217368,202301,47190583,3,음식점,3,678706000.0,1455.2320422426521,0.009639436552560493,0.28605967258631,0.2773056167733371,0.19398537179307992,0.10172564209230818,0.1511,낮음,특징 약함
47190583,형곡2동,중식,1713278000,71386583.33333333,80554,74317,-0.027452303292457295,12458.68742171004,788.2809051721521,17.18509709814436,4365.696126727957,0.5861655984377717,202301,47190583,3,음식점,3,571092666.6666666,1455.2320422426521,0.008108641710525444,0.28605967258631,0.2572651102736159,0.07969272598900953,0.08555837345979898,0.1337,낮음,특징 약함
