dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190551,도량동,제과점/아이스크림,2710685000,225890416.66666666,336494,308097,0.0,0.0,0.0,653572.9141666667,98035.937125,0.5766637613365334,11.0,0,카페,11.0,246425909.0909091,8912.357920454546,0.02820616893266331,0.49023310326556685,0,0.0038772458961446035,0.019486850334955782,0.1631,낮음,특징 약함
47190551,도량동,중식,989484000,82457000.0,46714,43055,0.0,0.0,0.0,653572.9141666667,98035.937125,0.5843212892162664,12.0,0,음식점,12.0,82457000.0,8169.661427083333,0.010271082238264175,0.49023310326556685,0,0.021895636632710942,0.006156984581717196,0.1548,낮음,특징 약함
47190551,도량동,패스트푸드,3175063000,264588583.33333334,323849,282203,0.0,0.0,0.0,653572.9141666667,98035.937125,0.62913914336974,26.0,0,음식점,26.0,122117807.6923077,3770.612966346154,0.033045034172093035,0.49023310326556685,0,0.12735337975749242,0.009381213157333089,0.1761,낮음,특징 약함
47190551,도량동,한식,21671421000,1805951750.0,505461,465488,0.0,0.0,0.0,653572.9141666667,98035.937125,0.6335190197554793,66.0,0,음식점,66.0,328354863.6363636,1485.3929867424242,0.22577893582602135,0.49023310326556685,0,0.1376593590938502,0.02614727133457713,0.2664,낮음,특징 약함
47190555,지산동,양식,56495000,4707916.666666667,4523,3671,0.0,0.0,0.0,304264.10000000003,45639.615,0.7171555778931492,0.0,0,음식점,0.5,112990000.0,91279.23,0.0005492434757252514,0.2062525477221834,0,0.3344586666581915,0.008639167291233063,0.0969,낮음,특징 약함
47190555,지산동,일식,63838000,5319833.333333333,4186,3473,0.0,0.0,0.0,304264.10000000003,45639.615,0.6729464062984051,1.0,0,음식점,1.0,63838000.0,45639.615,0.0006257582706835236,0.2062525477221834,0,0.23043317168842467,0.004643351467759316,0.0859,낮음,특징 약함
47190555,지산동,제과점/아이스크림,937089000,78090750.0,73894,62889,0.0,0.0,0.0,304264.10000000003,45639.615,0.6767123590532448,0.0,0,카페,0.5,1874178000.0,91279.23,0.009725121094067162,0.2062525477221834,0,0.23929457047114994,0.15181508848491962,0.113,낮음,특징 약함
47190555,지산동,중식,126687000,10557250.0,5552,5110,0.0,0.0,0.0,304264.10000000003,45639.615,0.6250684115568311,0.0,0,음식점,0.5,253374000.0,91279.23,0.001280651141217698,0.2062525477221834,0,0.11777482679095455,0.020051695948511274,0.0772,낮음,특징 약함
47190555,지산동,한식,3257698000,271474833.3333333,64610,59101,0.0,0.0,0.0,304264.10000000003,45639.615,0.6240932017617723,23.0,0,음식점,23.0,141639043.47826087,1984.3310869565216,0.03390609914300095,0.2062525477221834,0,0.11548012915309108,0.010968193602630813,0.0903,낮음,특징 약함
47190565,선주원남동,양식,6332053000,527671083.3333333,243723,204941,0.0,0.0,0.0,1280609.05,192091.3575,0.6817925134347775,6.0,0,음식점,6.0,1055342166.6666666,32015.226250000003,0.06594118595410521,1.0,0,0.251248324748794,0.08524776305237068,0.3676,검토 가능,수요인구 높음
47190565,선주원남동,일식,2613408000,217784000.0,44569,39612,0.0,0.0,0.0,1280609.05,192091.3575,0.6592951911619509,6.0,0,음식점,6.0,435568000.0,32015.226250000003,0.027192532856242797,1.0,0,0.19831145666227734,0.034863171944238325,0.3373,낮음,수요인구 높음
47190565,선주원남동,제과점/아이스크림,13874317000,1156193083.3333333,1227416,1061936,0.0,0.0,0.0,1280609.05,192091.3575,0.6485814650926115,7.0,0,카페,7.0,1982045285.7142856,27441.6225,0.14453233173664057,1.0,0,0.17310174073387427,0.16058416821905672,0.4064,검토 가능,수요인구 높음
47190565,선주원남동,중식,3192949000,266079083.33333334,137101,122356,0.0,0.0,0.0,1280609.05,192091.3575,0.6766210299087526,8.0,0,음식점,8.0,399118625.0,24011.4196875,0.03323140808229645,1.0,0,0.2390796702792157,0.031900017049610874,0.3436,낮음,수요인구 높음
47190565,선주원남동,패스트푸드,876525000,73043750.0,71246,62623,0.0,0.0,0.0,1280609.05,192091.3575,0.6280809550112966,24.0,0,음식점,24.0,36521875.0,8003.806562500001,0.009094038152237829,1.0,0,0.1248634310932789,0.002422684872076804,0.3169,낮음,수요인구 높음
47190565,선주원남동,한식,95972153000,7997679416.666667,2699237,2399262,0.0,0.0,0.0,1280609.05,192091.3575,0.6681399051825259,108.0,0,음식점,108.0,888631046.2962962,1778.6236805555557,1.0,1.0,0,0.21912333167976197,0.07169496901092857,0.7827,매우 추천,소비 규모 높음 + 수요인구 높음
